#Time		#Wave		#Intensity
0.000000	2681.806152	-403.429108
0.000000	2680.073730	-79.294685
0.000000	2678.340332	-22.250593
0.000000	2676.606934	-6.950946
0.000000	2674.872559	-1.389716
0.000000	2673.138184	-5.556974
0.000000	2671.402832	16.665247
0.000000	2669.666504	2.776596
0.000000	2667.930176	45.798222
0.000000	2666.192871	47.169968
0.000000	2664.455566	37.445736
0.000000	2662.717285	36.046562
0.000000	2660.978027	44.349865
0.000000	2659.238770	52.647495
0.000000	2657.498535	70.634361
0.000000	2655.758301	55.380585
0.000000	2654.017090	45.673374
0.000000	2652.274902	47.041336
0.000000	2650.532715	41.492874
0.000000	2648.789551	52.539665
0.000000	2647.045410	52.521694
0.000000	2645.301270	60.793781
0.000000	2643.556152	46.960934
0.000000	2641.811035	49.706314
0.000000	2640.064941	74.533928
0.000000	2638.318848	63.470108
0.000000	2636.570801	63.448353
0.000000	2634.823730	52.395882
0.000000	2633.074707	57.891373
0.000000	2631.325684	55.115723
0.000000	2629.575684	53.719383
0.000000	2627.825684	56.454830
0.000000	2626.074707	55.058960
0.000000	2624.323730	55.040043
0.000000	2622.571777	70.151932
0.000000	2620.818848	60.502419
0.000000	2619.065918	63.230770
0.000000	2617.312012	53.590252
0.000000	2615.557129	50.824532
0.000000	2613.802246	75.523964
0.000000	2612.046387	61.771046
0.000000	2610.290527	59.005329
0.000000	2608.533691	68.587196
0.000000	2606.775879	67.192276
0.000000	2605.018066	58.944309
0.000000	2603.259277	69.886566
0.000000	2601.499512	64.383034
0.000000	2599.739746	67.099564
0.000000	2597.979004	64.338570
0.000000	2596.218262	67.053207
0.000000	2594.456543	57.454311
0.000000	2592.693848	56.066959
0.000000	2590.931152	54.680550
0.000000	2589.167480	60.127796
0.000000	2587.403809	58.740913
0.000000	2585.638184	58.720577
0.000000	2583.873535	68.256088
0.000000	2582.106934	77.784981
0.000000	2580.340332	49.110329
0.000000	2578.572754	54.548115
0.000000	2576.805176	73.614410
0.000000	2575.036621	73.588875
0.000000	2573.268066	79.012466
0.000000	2571.498535	89.879524
0.000000	2569.728027	66.705559
0.000000	2567.956543	77.569305
0.000000	2566.185059	91.146271
0.000000	2564.413574	76.155472
0.000000	2562.640137	104.677361
0.000000	2560.866699	80.179420
0.000000	2559.093262	97.812027
0.000000	2557.317871	89.629807
0.000000	2555.543457	78.738159
0.000000	2553.767090	86.853226
0.000000	2551.990723	88.179565
0.000000	2550.213379	65.094521
0.000000	2548.436035	75.917122
0.000000	2546.657715	74.535454
0.000000	2544.878418	73.154732
0.000000	2543.099121	63.649483
0.000000	2541.318848	70.396118
0.000000	2539.537598	70.371529
0.000000	2537.756348	79.816719
0.000000	2535.974121	82.493530
